stop_id,latitude,longitude,ons,offs
105392,33.751072,-84.317703,0,2
105396,33.751038,-84.314323,0,4
105412,33.747517,-84.339706,3,11
105414,33.747509,-84.338615,97,61
105420,33.747429,-84.333344,29,89
105422,33.747429,-84.331932,40,740
105424,33.7472,-84.33036,16,11
105426,33.747253,-84.328728,92,157
105428,33.747368,-84.326324,90,119
105430,33.747295,-84.323647,36,29
105432,33.739067,-84.343925,50,40
105448,33.747429,-84.326233,204,264
105452,33.747494,-84.321144,226,5
105455,33.747368,-84.31945,418,53
105456,33.747368,-84.3172,26,13
105462,33.740078,-84.343658,17,49
105464,33.740158,-84.343117,27,22
105466,33.739956,-84.34021,13,18
105468,33.740139,-84.339851,70,22
105470,33.740009,-84.338188,9,10
105471,33.739937,-84.336174,0,6
105472,33.740078,-84.338287,112,13
105474,33.74004,-84.345383,274,225
105476,33.739979,-84.345116,54,88
105478,33.74017,-84.345306,45,124
105508,33.73999,-84.341125,0,2
105510,33.740234,-84.341103,26,0
105512,33.740063,-84.336014,16,27
105517,33.743793,-84.31472,8,3
105523,33.741028,-84.314362,1,16
105572,33.74749,-84.313843,276,176
105574,33.740124,-84.317116,3,5
105578,33.746449,-84.314674,3,6
106002,33.731762,-84.293777,18,10
106004,33.731831,-84.292725,8,2
106006,33.731743,-84.291466,5,0
106008,33.731731,-84.290329,4,13
106012,33.731682,-84.285431,19,5
